User ID,Fan Challenges Completed,Predictive Accuracy (%),Virtual Merchandise Purchases,Sponsorship Interactions (Ad Clicks),Time on Live 360 (mins),Real-Time Chat Activity (Messages Sent)
U001,0.4444444444444445,0.625,0.5,0.5263157894736842,0.43165467625899284,0.4081632653061224
U002,0.7777777777777777,0.20833333333333348,0.16666666666666666,0.42105263157894735,0.2877697841726619,0.7142857142857142
U003,0.2222222222222222,0.8333333333333335,0.0,0.3157894736842105,0.21582733812949645,0.1020408163265306
U004,0.6666666666666665,0.41666666666666674,0.3333333333333333,0.7894736842105263,0.5755395683453237,0.8163265306122448
U005,0.1111111111111111,0.0,0.8333333333333333,0.15789473684210525,0.0,0.16326530612244897
U006,1.0,0.7291666666666667,1.0,0.631578947368421,0.8633093525179858,0.5102040816326531
U007,0.5555555555555556,0.5208333333333335,0.6666666666666666,0.2631578947368421,0.5035971223021583,0.3061224489795918
U008,0.8888888888888888,0.9375,0.3333333333333333,0.47368421052631576,0.6474820143884892,0.9183673469387754
U009,0.3333333333333333,0.3125,0.16666666666666666,0.10526315789473684,0.14388489208633087,0.2040816326530612
U010,0.2222222222222222,0.10416666666666674,0.0,0.21052631578947367,0.2517985611510792,0.12244897959183673
U011,0.6666666666666665,0.7083333333333335,1.0,0.8421052631578947,0.7410071942446044,0.18367346938775508
U012,0.3333333333333333,0.6666666666666667,0.3333333333333333,0.05263157894736842,0.9784172661870505,0.08163265306122448
U013,0.7777777777777777,0.08333333333333348,0.8333333333333333,0.0,0.3021582733812949,0.7142857142857142
U014,0.4444444444444445,0.8541666666666667,0.0,0.7894736842105263,0.2733812949640288,0.673469387755102
U015,0.6666666666666665,0.7916666666666667,0.5,0.5789473684210527,0.17985611510791372,0.6122448979591836
U016,1.0,0.8333333333333335,0.0,0.21052631578947367,0.7050359712230216,0.18367346938775508
U017,0.2222222222222222,0.5625,0.8333333333333333,0.21052631578947367,0.35251798561151076,0.36734693877551017
U018,0.6666666666666665,0.125,0.0,0.42105263157894735,0.08633093525179852,0.6326530612244897
U019,0.7777777777777777,0.16666666666666674,0.16666666666666666,0.42105263157894735,0.42446043165467623,0.0
U020,0.4444444444444445,0.14583333333333348,0.5,0.10526315789473684,0.9640287769784173,0.08163265306122448
U021,0.3333333333333333,0.22916666666666674,0.5,0.9473684210526315,0.4028776978417266,0.8979591836734693
U022,0.7777777777777777,0.6875,0.8333333333333333,0.7894736842105263,0.2517985611510792,0.061224489795918366
U023,0.7777777777777777,0.6666666666666667,1.0,0.7894736842105263,0.13669064748201437,0.3061224489795918
U024,0.2222222222222222,0.9791666666666665,0.16666666666666666,0.10526315789473684,0.46043165467625896,0.4693877551020408
U025,0.5555555555555556,0.4583333333333335,0.3333333333333333,1.0,0.05035971223021579,0.3061224489795918
U026,0.4444444444444445,0.47916666666666674,0.0,0.0,0.8201438848920863,0.02040816326530612
U027,0.1111111111111111,0.75,0.6666666666666666,1.0,0.6546762589928059,0.9795918367346939
U028,0.7777777777777777,0.7083333333333335,0.0,0.5263157894736842,0.6978417266187051,0.5510204081632653
U029,0.5555555555555556,0.8958333333333335,0.0,0.8421052631578947,0.4676258992805756,0.6326530612244897
U030,0.1111111111111111,0.8125,0.3333333333333333,0.3684210526315789,0.22302158273381295,0.5306122448979591
U031,0.4444444444444445,0.4375,0.0,0.15789473684210525,0.6115107913669064,0.3877551020408163
U032,0.0,0.5416666666666667,0.16666666666666666,0.2631578947368421,0.3597122302158274,0.4693877551020408
U033,1.0,0.7083333333333335,0.16666666666666666,0.3684210526315789,0.44604316546762596,0.22448979591836732
U034,0.5555555555555556,0.0,0.5,1.0,0.8920863309352518,0.9999999999999999
U035,0.8888888888888888,0.7083333333333335,0.8333333333333333,0.10526315789473684,0.4100719424460432,0.6938775510204082
U036,0.0,0.75,1.0,0.7894736842105263,0.4100719424460432,0.6530612244897959
U037,1.0,0.9583333333333335,0.6666666666666666,0.10526315789473684,0.6115107913669064,0.6530612244897959
U038,0.2222222222222222,0.2708333333333335,0.0,0.894736842105263,0.34532374100719426,0.8571428571428571
U039,0.6666666666666665,0.04166666666666674,0.0,0.6842105263157894,0.4964028776978417,0.7346938775510203
U040,0.3333333333333333,0.0,0.3333333333333333,0.894736842105263,0.10071942446043164,0.22448979591836732
U041,0.8888888888888888,0.08333333333333348,0.8333333333333333,0.05263157894736842,0.381294964028777,0.04081632653061224
U042,0.2222222222222222,0.5208333333333335,0.16666666666666666,0.10526315789473684,0.7194244604316546,0.0
